latitude,longitude,zpid,City,streetaddress,zipcode,hometype,bathrooms,bedrooms,livingarea,yearbuilt,lotsize,listingstatus,pricevalue,pricepersquirefoot,zestimate,rentzestimate
37.32038,-121.79485,19793077,San Jose,2911 Stevens Ln,95148,singleFamily,2.0,3.0,1510.0,1976.0,6000.0,forSale,1450000,960.0,1449400.0,4355.0
37.227455,-121.884895,19761257,San Jose,6139 Meridian Ave,95120,singleFamily,2.0,4.0,1754.0,1972.0,7873.0,forSale,1799000,1026.0,1771800.0,5702.0
37.389866,-121.83137,19779174,San Jose,14925 Joanne Ave,95127,singleFamily,3.0,3.0,1854.0,1950.0,9348.0,forSale,1700000,917.0,1677800.0,5090.0
37.289104,-121.743,19800010,San Jose,7527 Morevern Cir,95135,condo,3.0,2.0,1751.0,1988.0,,forSale,998888,570.0,986500.0,3539.0
37.378773,-121.8561,19571064,San Jose,861 Wyman Way APT 2,95133,townhome,1.0,2.0,903.0,1971.0,6903.0,forSale,499000,553.0,496600.0,2752.0
37.224476,-121.86244,19834496,San Jose,6380 Vegas Dr,95120,singleFamily,2.0,4.0,1661.0,1963.0,6000.0,forSale,1745000,1051.0,1731200.0,4831.0
37.26952,-121.89652,19694876,San Jose,1523 Shaw Dr,95118,singleFamily,3.0,4.0,1790.0,1959.0,6300.0,forSale,1875000,1047.0,1861100.0,4865.0
37.272427,-121.907845,82954360,San Jose,2812 Paseo Ln,95124,townhome,5.0,4.0,2438.0,2007.0,1261.0,forSale,1549000,635.0,1522800.0,5490.0
37.388004,-121.812454,19783657,San Jose,15738 Highland Dr,95127,singleFamily,2.0,3.0,2386.0,1934.0,8276.0,forSale,1499999,629.0,1495600.0,4497.0
37.307938,-121.829926,19741255,San Jose,2739 McLaughlin Ave,95121,singleFamily,3.0,4.0,1760.0,1966.0,6100.0,forSale,1388888,789.0,1375700.0,4854.0
37.340477,-121.85454,64483260,San Jose,779 Bonita Pl,95116,townhome,2.0,2.0,1010.0,2005.0,871.2,forSale,649000,643.0,640800.0,2971.0
37.38197,-121.84165,19775488,San Jose,662 Kirk Glen Dr,95133,singleFamily,3.0,4.0,1749.0,1983.0,6270.0,forSale,1550000,886.0,1522700.0,3537.0
37.32165,-121.87568,69303439,San Jose,1060 S 3rd St APT 148,95112,condo,2.0,2.0,1000.0,2005.0,,forSale,545000,545.0,542000.0,2927.0
37.318768,-121.8871,19577403,San Jose,914 Harliss Ave,95110,singleFamily,2.0,2.0,996.0,1928.0,5510.0,forSale,998888,1003.0,976200.0,3764.0
37.24432,-121.83249,19820342,San Jose,503 Chinook Ln,95123,singleFamily,2.0,3.0,1525.0,1965.0,6060.0,forSale,1549000,1016.0,1530800.0,4352.0
37.268295,-121.86506,112095602,San Jose,4309 Funston Dr,95136,singleFamily,3.0,5.0,2195.0,1968.0,6000.0,forSale,1699000,774.0,1675500.0,6225.0
37.268948,-121.737,19797515,San Jose,7085 Wilderness Cir,95135,singleFamily,3.0,4.0,2702.0,1997.0,0.2892561983471074,forSale,2698000,999.0,2645500.0,5966.0
37.300777,-121.9105,19682469,San Jose,1512 Minnesota Ave,95125,singleFamily,4.0,5.0,3140.0,2026.0,7700.0,forSale,3575000,1139.0,,4011.0
37.229923,-121.868286,19834898,San Jose,1054 Fleetwood Dr,95120,singleFamily,2.0,4.0,1773.0,1967.0,7080.0,forSale,1799000,1015.0,1769900.0,5386.0
37.199493,-121.8359,69299809,San Jose,1105 Grimley Ln,95120,singleFamily,5.0,6.0,4368.0,2006.0,0.2821625344352617,forSale,3988000,913.0,3859200.0,7714.0
37.321095,-121.94507,19586451,San Jose,2868 Hemlock Ave,95128,singleFamily,3.0,5.0,2223.0,1997.0,2926.0,forSale,1998950,899.0,1976800.0,6790.0
37.328945,-121.82061,460610704,San Jose,1872 Quimby Rd #1872,95122,manufactured,2.0,2.0,1344.0,1980.0,,forSale,398000,296.0,,
37.299313,-121.96254,19609342,San Jose,1369 Phelps Ave APT 9,95117,condo,1.0,2.0,840.0,1963.0,,forSale,488888,582.0,,
37.28029,-121.978745,19658981,San Jose,2329 Dorval Dr,95130,singleFamily,3.0,4.0,2183.0,1961.0,6050.0,forSale,2495000,1143.0,2473000.0,5061.0
37.38625,-121.836044,19778714,San Jose,3332 Pepper Tree Ln,95127,singleFamily,2.0,3.0,1353.0,1954.0,5000.0,forSale,1249888,924.0,1252000.0,5491.0
37.342575,-121.894135,50903649,San Jose,400 N 1st St APT 111,95112,condo,2.0,1.0,1113.0,2000.0,,forSale,625000,562.0,612600.0,1600.0
37.307095,-121.9048,19578849,San Jose,1197 Willow St,95125,singleFamily,2.0,4.0,2381.0,1900.0,0.25224977043158864,forSale,2799000,1176.0,2730500.0,5698.0
37.379192,-121.896164,166731469,San Jose,1081 Harebell Pl,95131,townhome,4.0,3.0,1622.0,2015.0,646.0,forSale,1080000,666.0,1078700.0,4201.0
37.33604,-121.93726,454514375,San Jose,2004 Cherrystone Dr,95128,singleFamily,5.0,4.0,3279.0,2025.0,10247.0,forSale,2597000,792.0,2563000.0,7842.0
37.277367,-121.86121,250559033,San Jose,3300 Narvaez Ave Space 175,95136,manufactured,2.0,3.0,1490.0,2016.0,,forSale,339888,228.0,339700.0,3813.0
37.35103,-121.84814,19718993,San Jose,230 McCreery Ave,95116,multiFamily,2.0,3.0,1453.0,1948.0,5341.0,forSale,849999,585.0,847800.0,3736.0
37.259544,-121.8219,19817276,San Jose,5252 Rio Lobo Dr,95136,singleFamily,2.0,4.0,2053.0,1982.0,6195.0,forSale,1750000,852.0,1716400.0,4830.0
37.342793,-121.853065,2101490057,San Jose,1500 Virginia Pl Spc 161,95116,manufactured,2.0,3.0,923.0,1995.0,,forSale,188886,205.0,,2985.0
37.34326,-121.87083,89474731,San Jose,68 S 19th St,95116,singleFamily,4.0,3.0,1999.0,2007.0,2500.0,forSale,1198888,600.0,1181200.0,4238.0
37.239334,-121.80642,19824897,San Jose,189 Coffeeberry Dr,95123,singleFamily,4.0,5.0,2952.0,1999.0,4342.932,forSale,2199000,745.0,2147600.0,5714.0
